company,title,location,regions,salary_min,salary_max
asspl - telangana,"sr. mgr. bie, last-mile ops, aop (analytics ops & programs)","hyderabad, telangana","india, telangana, hyderabad",,
shri educare limited,"academic coordinator primary and middle - the shri ram universal school, bengaluru","yelahanka, bangalore","india, karnataka, bangalore, yelahanka",,
sagility,associate director hrbp,india,india,,
hh global,bid manager,india,india,,
payoneer,early retention program manager,india,india,,
payoneer,early retention program manager,"bangalore, karnataka","india, karnataka, bangalore",,
snic solutions,solutions sales executive - india,"vijayanagar, bangalore","india, karnataka, bangalore, vijayanagar",,
loginext,associate vice president - human capital (talent acquisition),"vikhroli, mumbai","india, maharashtra, mumbai, vikhroli",,
myoperator - voicetree technologies,team lead - customer success - b2b saas,"noida, ghaziabad","india, uttar pradesh, ghaziabad, noida",800000.0,1200000.0
nextech electronics,technical marketing engineer,"bangalore, karnataka","india, karnataka, bangalore",,
unnati,digital marketing manager,"delhi, india","india, delhi",1000000.0,1500000.0
aimhighhr,engineering manager,"hyderabad, telangana","india, telangana, hyderabad",1500000.0,4000000.0
exl,1077752-vice president,"noida, ghaziabad","india, uttar pradesh, ghaziabad, noida",,
merito,product manager - insurtech,"mumbai, maharashtra","india, maharashtra, mumbai",1800000.0,3500000.0
loginext,associate vice president - human capital (talent acquisition),"mumbai, maharashtra","india, maharashtra, mumbai",2000000.0,4000000.0
talent junction llp,cloud sales dgm sr manager,india,india,,
amazon,"business intel engineer ii, ww stores ipat - swift","bangalore, karnataka","india, karnataka, bangalore",,
ness digital engineering,sr product and platform architect (l6a - 18 yrs),"bangalore, karnataka","india, karnataka, bangalore",,
growfin.ai,lead software engineer - backend,"chennai, tamil nadu","india, tamil nadu, chennai",,
phoenix mills,manager - projects,"mumbai, maharashtra","india, maharashtra, mumbai",,
growfin.ai,founder's office - strategy & operations,"chennai, tamil nadu","india, tamil nadu, chennai",,
trezix software private limited,sales development representative,"mumbai, maharashtra","india, maharashtra, mumbai",900000.0,1200000.0
pricewaterhousecoopers,manager - risk & reg - sales & trading operations,india,india,,
talent leads consultants,business development manager/ sales for consulting and hr tech services,india,india,,
clarivate,patent search senior analyst,india,india,,
recex,senior buyer/acm – home furnishing,"gurgaon, haryana","india, haryana, gurgaon",,
the citco group,"assistant vice president, fund accounting (real assets)","mumbai, maharashtra","india, maharashtra, mumbai",,
google,"head of strategy and operations, gtech ads ai programs","hyderabad, telangana","india, telangana, hyderabad",,
protonzone consulting,nejobs / marketing manager,india,india,,
glomopay,finops associate – payments operations & reconciliation,india,india,,
talent leads consultants,"chief technology officer (cto), ahmedabad","ahmedabad, gujarat","india, gujarat, ahmedabad",,
r3 consultant,hubspot specialist – marketing operations,"jaipur, rajasthan","india, rajasthan, jaipur",2000000.0,2200000.0
tekion,"director, gtm product management","bangalore, karnataka","india, karnataka, bangalore",,
tata aia life insurance,assistant vice president - enterprise computing,"mumbai, maharashtra","india, maharashtra, mumbai",,
"oaktree capital management, l.p.","assistant vice president, business resilience operations","hyderabad, telangana","india, telangana, hyderabad",,
amazon,"principal bd - supplychain & logistics, aws industry business development",india,india,,
