company,title,location,regions,salary_min,salary_max
wells fargo bank,vp- project manager,"bangalore, karnataka","india, karnataka, bangalore",,
whitecrow,vp - payment analytics,"hyderabad, telangana","india, telangana, hyderabad",,
wells fargo bank,vp- project manager,"bangalore, karnataka","india, karnataka, bangalore",,
wells fargo bank,delivery coordinator- vp,"bangalore, karnataka","india, karnataka, bangalore",,
selby jennings singapore,"vp/director, finance controller","hyderabad, telangana","india, telangana, hyderabad",,
arena investors i quaestor advisors,asset management - vp/avp,india,india,,
sks enterpprises,avp/vp - investment banking,"bangalore, karnataka","india, karnataka, bangalore",,
scremer,vp â business development,"hyderabad, telangana","india, telangana, hyderabad",1000000.0,2000000.0
deutsche bank,"pb germany operations, vp",india,india,,
barclays,java tech lead-vp,india,india,,
clootrack,vp - business development & sales,india,india,3500000.0,5500000.0
talent leads consultants,"vp and company secretary, mumbai","mumbai, maharashtra","india, maharashtra, mumbai",,
people first consultants,vp - payments technology support,"chennai, tamil nadu","india, tamil nadu, chennai",,
simplifin,vp engineering (potential unicorn),"bangalore, karnataka","india, karnataka, bangalore",2000000.0,5000000.0
unnati,vp (it technology- android),"delhi, india","india, delhi",1200000.0,1500000.0
unnati,vp (it technology - .net),"delhi, india","india, delhi",1200000.0,1500000.0
vinayak outsourcing works,gm/ vp hr (gujrat),india,india,,
barclays,lead backend engineer -vp,india,india,,
deutsche bank,"lead engineer frontend, vp",india,india,,
barclays,vp | simplification & resilience-2,india,india,,
unnati,vp digital marketing and design,"delhi, india","india, delhi",600000.0,1500000.0
unnati,vp- mfis(microfinance institutes),"delhi, india","india, delhi",1200000.0,1500000.0
barclays,vp – front-end/ui,india,india,,
barclays,data modeler/architect - vp,india,india,,
ukg,"vp, software engineering - wfm","noida, ghaziabad","india, uttar pradesh, ghaziabad, noida",,
deutsche bank,"jasper report developer, vp",india,india,,
synchrony financial,vp agile program manager,india,india,,
deutsche bank,tfl – trade transition – vp,india,india,,
deutsche bank,"digital liquidity services, vp",india,india,,
deutsche bank,"senior cloud engineer, vp",india,india,,
barclays,engineering lead java-vp,india,india,,
barclays,ai engineering lead-vp,india,india,,
deutsche bank,"senior principal auditor, vp",india,india,,
hsbc,vp remote tools and solutions,"bangalore, karnataka","india, karnataka, bangalore",,
exl,vp - f&a operations and solutions,"bangalore, karnataka","india, karnataka, bangalore",,
deutsche bank,"vendor management lead, vp","pune, maharashtra","india, maharashtra, pune",,
deutsche bank,"employee compliance officer, vp","pune, maharashtra","india, maharashtra, pune",,
deutsche bank,"business functional analyst, vp","bangalore, karnataka","india, karnataka, bangalore",,
deutsche bank,"lead technology engineer, vp","pune, maharashtra","india, maharashtra, pune",,
deutsche bank,"employee compliance officer, vp","bangalore, karnataka","india, karnataka, bangalore",,
deutsche bank,"technical product manager, vp","bangalore, karnataka","india, karnataka, bangalore",,
deutsche bank,"india coverage banker, vp","bangalore, karnataka","india, karnataka, bangalore",,
smartcoin,avp /vp risk policy,"bangalore, karnataka","india, karnataka, bangalore",2000000.0,8000000.0
deutsche bank,"lead engineer ipp, vp",india,india,,
unlimit,vp/manager - banking alliances,india,india,,
natwest group,"risk & controls manager, vp","bangalore, karnataka","india, karnataka, bangalore",,
natwest digitalx,"quality automation specialist, vp","bangalore, karnataka","india, karnataka, bangalore",,
natwest digitalx,"principal engineer, java, vp","bangalore, karnataka","india, karnataka, bangalore",,
natwest group,"quality automation specialist, vp","bangalore, karnataka","india, karnataka, bangalore",,
natwest group,"quality automation specialist, vp","gurgaon, haryana","india, haryana, gurgaon",,
natwest digitalx,"etrading oversight manager, vp","bangalore, karnataka","india, karnataka, bangalore",,
natwest digitalx,"software engineer, pyspark, vp","chennai, tamil nadu","india, tamil nadu, chennai",,
natwest digitalx,"etrading oversight manager, vp","gurgaon, haryana","india, haryana, gurgaon",,
natwest digitalx,"business controls partner, vp","bangalore, karnataka","india, karnataka, bangalore",,
natwest digitalx,"cobol software engineer, vp","chennai, tamil nadu","india, tamil nadu, chennai",,
natwest digitalx,"software engineer, pyspark, vp","gurgaon, haryana","india, haryana, gurgaon",,
natwest digitalx,"devops cloud engineer, vp","gurgaon, haryana","india, haryana, gurgaon",,
natwest digitalx,"business controls partner, vp","gurgaon, haryana","india, haryana, gurgaon",,
natwest group,"avaloq software engineer, vp","bangalore, karnataka","india, karnataka, bangalore",,
natwest group,"avaloq software engineer, vp","gurgaon, haryana","india, haryana, gurgaon",,
natwest group,"java software engineer, vp","chennai, tamil nadu","india, tamil nadu, chennai",,
natwest group,"quality automation specialist, vp","chennai, tamil nadu","india, tamil nadu, chennai",,
natwest group,"principal engineer, pyspark, vp","gurgaon, haryana","india, haryana, gurgaon",,
natwest group,"release train manager, vp","chennai, tamil nadu","india, tamil nadu, chennai",,
natwest group,"java software engineer, vp","bangalore, karnataka","india, karnataka, bangalore",,
natwest group,"infrastructure engineer, vp (sqldba)","bangalore, karnataka","india, karnataka, bangalore",,
natwest group,"production management specialist, vp","bangalore, karnataka","india, karnataka, bangalore",,
natwest group,"infrastructure engineer, vp (citrix)","bangalore, karnataka","india, karnataka, bangalore",,
natwest group,"release train manager, vp","gurgaon, haryana","india, haryana, gurgaon",,
natwest group,"learning & development facilitator, vp","bangalore, karnataka","india, karnataka, bangalore",,
natwest group,"data & analytics manager, vp","gurgaon, haryana","india, haryana, gurgaon",,
natwest group,"release train manager, vp","chennai, tamil nadu","india, tamil nadu, chennai",,
natwest group,"quantitative development lead, vp","bangalore, karnataka","india, karnataka, bangalore",,
natwest group,"avaloq software engineer,vp","bangalore, karnataka","india, karnataka, bangalore",,
natwest group,"infrastructure engineer, vp (windows)","bangalore, karnataka","india, karnataka, bangalore",,
natwest group,"ai data engineer, vp","bangalore, karnataka","india, karnataka, bangalore",,
natwest group,"data & analytics manager, vp","bangalore, karnataka","india, karnataka, bangalore",,
natwest digitalx,"devops cloud engineer, vp","bangalore, karnataka","india, karnataka, bangalore",,
natwest digitalx,"software engineer, pyspark, vp","bangalore, karnataka","india, karnataka, bangalore",,
natwest digitalx,"quality automation specialist, vp","gurgaon, haryana","india, haryana, gurgaon",,
natwest digitalx,"business controls partner, vp","chennai, tamil nadu","india, tamil nadu, chennai",,
natwest digitalx,"cobol software engineer, vp","bangalore, karnataka","india, karnataka, bangalore",,
natwest digitalx,"risk & controls manager, vp","gurgaon, haryana","india, haryana, gurgaon",,
natwest digitalx,"quality automation specialist, vp","chennai, tamil nadu","india, tamil nadu, chennai",,
natwest digitalx,"principal engineer, java, vp","gurgaon, haryana","india, haryana, gurgaon",,
barclays,senior technology lead - vp,india,india,,
velocity services,avp / vp - debt partnerships,"bangalore, karnataka","india, karnataka, bangalore",3000000.0,5000000.0
talent pro,vp wealth manager (hni),"bangalore, karnataka","india, karnataka, bangalore",3000000.0,4500000.0
asterion,vp - lead data analyst,india,india,,
natwest group,"etrading oversight manager, vp","bangalore, karnataka","india, karnataka, bangalore",,
